Wavelength,a,b
701.437,13.97,-0.985
701.49,13.979,-0.985
701.542,13.978,-0.985
701.594,13.955,-0.984
701.646,13.995,-0.985
701.698,13.971,-0.984
701.751,14.001,-0.984
701.803,13.875,-0.983
701.855,13.862,-0.984
701.907,13.925,-0.984
701.959,13.95,-0.984
702.011,13.925,-0.985
702.064,13.843,-0.984
702.116,13.993,-0.984
702.168,14.038,-0.985
702.22,13.968,-0.985
702.272,13.962,-0.984
702.324,14.011,-0.985
702.376,14.065,-0.986
702.428,13.978,-0.985
702.48,14.005,-0.985
702.532,14.139,-0.988
702.584,14.075,-0.986
702.636,14.012,-0.985
702.688,13.999,-0.986
702.74,14.041,-0.985
702.792,14.017,-0.985
702.844,13.995,-0.985
702.896,14,-0.985
702.948,13.959,-0.985
703,14.056,-0.985
703.052,13.949,-0.985
703.104,14.049,-0.985
703.156,13.918,-0.985
703.208,13.95,-0.985
703.26,13.957,-0.985
703.312,14.098,-0.986
703.364,14.05,-0.985
703.416,13.875,-0.984
703.468,13.968,-0.985
703.519,13.941,-0.985
703.571,14.029,-0.986
703.623,13.848,-0.983
703.675,13.945,-0.984
703.727,13.86,-0.984
703.779,13.892,-0.984
703.831,13.946,-0.985
703.882,13.904,-0.984
703.934,13.963,-0.984
703.986,14.054,-0.984
704.038,13.932,-0.984
704.09,14.118,-0.987
704.141,13.989,-0.985
704.193,14.618,-0.995
704.245,13.964,-0.984
704.297,14.054,-0.985
704.348,14.055,-0.986
704.4,14.154,-0.986
704.452,14.079,-0.986
704.503,14.1,-0.986
704.555,14.131,-0.985
704.607,14.123,-0.986
704.658,14.219,-0.987
704.71,14.126,-0.986
704.762,14.062,-0.985
704.813,14.327,-0.987
704.865,14.052,-0.986
704.917,14.171,-0.985
704.968,13.97,-0.985
705.02,14.028,-0.985
705.071,14.014,-0.985
705.123,14.128,-0.985
705.175,14.047,-0.985
705.226,14.036,-0.984
705.278,14.019,-0.985
705.329,14.03,-0.984
705.381,13.999,-0.984
705.432,14.147,-0.985
705.484,13.98,-0.984
705.535,14.065,-0.984
705.587,14.109,-0.984
705.638,14.027,-0.984
705.69,14.004,-0.984
705.741,14.047,-0.984
705.793,14.065,-0.985
705.844,14.022,-0.985
705.896,13.954,-0.984
705.947,14.047,-0.985
705.999,14.012,-0.984
706.05,14.05,-0.985
706.102,14.061,-0.985
706.153,14.053,-0.985
706.204,14.089,-0.985
706.256,14.216,-0.986
706.307,14.227,-0.985
706.359,14.148,-0.987
706.41,14.215,-0.986
706.461,14.104,-0.985
706.513,14.212,-0.985
706.564,14.129,-0.985
706.615,14.172,-0.986
706.667,14.125,-0.985
706.718,14.183,-0.985
706.769,14.187,-0.985
706.82,14.082,-0.984
706.872,14.183,-0.985
706.923,14.115,-0.985
706.974,14.184,-0.985
707.026,14.165,-0.986
707.077,14.17,-0.985
707.128,14.126,-0.985
707.179,14.194,-0.985
707.23,14.192,-0.984
707.282,14.051,-0.984
707.333,14.22,-0.986
707.384,14.099,-0.984
707.435,14.055,-0.984
707.486,14.18,-0.985
707.538,14.12,-0.985
707.589,14.16,-0.985
707.64,14.224,-0.985
707.691,14.183,-0.985
707.742,14.189,-0.985
707.793,14.324,-0.986
707.844,14.201,-0.985
707.895,14.212,-0.985
707.946,14.326,-0.985
707.998,14.314,-0.986
708.049,14.352,-0.985
708.1,14.451,-0.989
708.151,14.247,-0.986
708.202,14.292,-0.986
708.253,14.143,-0.985
708.304,14.37,-0.986
708.355,14.497,-0.988
708.406,14.705,-0.992
708.457,14.286,-0.986
708.508,14.224,-0.985
708.559,14.314,-0.986
708.61,14.415,-0.986
708.661,14.287,-0.985
708.712,14.31,-0.985
708.763,14.566,-0.989
708.814,14.229,-0.984
708.865,14.298,-0.985
708.915,14.251,-0.985
708.966,14.224,-0.984
709.017,14.286,-0.984
709.068,14.37,-0.985
709.119,14.279,-0.985
709.17,14.24,-0.984
709.221,14.17,-0.984
709.272,14.363,-0.984
709.322,14.29,-0.985
709.373,14.28,-0.984
709.424,14.305,-0.985
709.475,14.353,-0.985
709.526,14.332,-0.985
709.576,14.325,-0.986
709.627,14.424,-0.985
709.678,14.337,-0.985
709.729,14.338,-0.985
709.78,14.497,-0.986
709.83,14.387,-0.985
709.881,14.391,-0.986
709.932,14.346,-0.985
709.982,14.346,-0.985
710.033,14.466,-0.986
710.084,14.432,-0.986
710.135,14.473,-0.986
710.185,14.386,-0.986
710.236,14.594,-0.986
710.287,14.328,-0.985
710.337,14.502,-0.986
710.388,14.495,-0.985
710.439,14.465,-0.985
710.489,14.317,-0.985
710.54,14.352,-0.985
710.59,14.587,-0.985
710.641,14.506,-0.985
710.692,14.441,-0.985
710.742,14.434,-0.985
710.793,14.514,-0.985
710.843,14.473,-0.985
710.894,14.454,-0.984
710.944,14.416,-0.984
710.995,14.428,-0.984
711.046,14.561,-0.985
711.096,14.481,-0.984
711.147,14.594,-0.985
711.197,14.707,-0.987
711.248,14.622,-0.986
711.298,16.217,-1.012
711.348,14.552,-0.985
711.399,14.578,-0.985
711.449,14.559,-0.985
711.5,14.603,-0.985
711.55,14.615,-0.985
711.601,14.591,-0.986
711.651,14.592,-0.986
711.702,14.724,-0.986
711.752,14.83,-0.987
711.802,14.619,-0.985
711.853,14.673,-0.986
711.903,14.723,-0.986
711.953,14.697,-0.986
712.004,14.698,-0.986
712.054,14.751,-0.986
712.104,14.797,-0.986
712.155,14.631,-0.985
712.205,14.62,-0.985
712.255,14.67,-0.985
712.306,14.848,-0.987
712.356,14.808,-0.986
712.406,14.737,-0.986
712.457,14.794,-0.985
712.507,14.773,-0.987
712.557,14.726,-0.985
712.607,14.759,-0.985
712.658,14.767,-0.986
712.708,14.746,-0.985
712.758,14.743,-0.985
712.808,14.818,-0.985
712.858,14.967,-0.988
712.909,14.755,-0.985
712.959,14.862,-0.986
713.009,14.928,-0.985
713.059,14.9,-0.985
713.109,15.027,-0.986
713.159,14.982,-0.986
713.21,14.984,-0.986
713.26,14.983,-0.986
713.31,14.96,-0.986
713.36,14.923,-0.986
713.41,15.05,-0.986
713.46,15.017,-0.986
713.51,15.09,-0.986
713.56,15.104,-0.987
713.61,15.11,-0.986
713.66,15.033,-0.986
713.71,15.162,-0.987
713.76,15.136,-0.986
713.81,15.236,-0.987
713.86,15.127,-0.987
713.91,15.232,-0.986
713.96,15.251,-0.986
714.01,15.141,-0.986
714.06,15.228,-0.986
714.11,15.395,-0.989
714.16,15.25,-0.986
714.21,15.128,-0.986
714.26,15.237,-0.986
714.31,15.197,-0.986
714.36,15.206,-0.986
714.41,15.117,-0.985
714.46,15.175,-0.985
714.51,15.283,-0.986
714.56,15.316,-0.986
714.609,15.238,-0.986
714.659,15.07,-0.985
714.709,15.14,-0.985
714.759,15.268,-0.986
714.809,15.247,-0.985
714.859,15.32,-0.986
714.909,15.336,-0.986
714.958,15.26,-0.986
715.008,15.186,-0.986
715.058,15.296,-0.986
