Wavelength,a,b
658.314,1.566601101,-0.994256408
658.477,1.566424757,-0.994661542
658.641,1.56651202,-0.995106487
658.805,1.547854595,-0.993702539
658.969,1.561021221,-0.995264656
659.132,1.538625903,-0.993532236
659.296,1.545027738,-0.994559734
659.459,1.542474137,-0.994649334
659.623,1.533992755,-0.994206076
659.787,1.51828983,-0.993024632
659.95,1.523693469,-0.993886098
660.113,1.523612643,-0.994211564
660.277,1.51753404,-0.993939555
660.44,1.524137037,-0.994976574
660.604,1.509773883,-0.993899595
660.767,1.502985386,-0.993620388
660.93,1.498331948,-0.993539338
661.094,1.501636209,-0.994233531
661.257,1.495227539,-0.99393439
661.42,1.486803274,-0.993609781
661.583,1.493180585,-0.994589953
661.746,1.476184149,-0.993211922
661.909,1.485384255,-0.99445727
662.072,1.478608523,-0.994065902
662.235,1.479572965,-0.994563422
662.399,1.481936376,-0.995049576
662.561,1.466552675,-0.993852667
662.724,1.46674752,-0.994209391
662.887,1.464995264,-0.99441396
663.05,1.452779433,-0.993545073
663.213,1.447890958,-0.993402169
663.376,1.4565674,-0.994599579
663.539,1.45145742,-0.994559312
663.701,1.446573812,-0.99440339
663.864,1.437381868,-0.993737159
664.027,1.440873153,-0.994432902
664.189,1.433897551,-0.993993171
664.352,1.429836931,-0.993985016
664.515,1.424727762,-0.993790575
664.677,1.421401,-0.993748358
664.84,1.420013809,-0.994000753
665.002,1.414422547,-0.993823693
665.165,1.416326725,-0.994283476
665.327,1.404018508,-0.993319684
665.489,1.407898834,-0.994042044
665.652,1.397087487,-0.993234975
665.814,1.407958953,-0.994630198
665.976,1.393862627,-0.993448763
666.139,1.393583468,-0.993639458
666.301,1.394297818,-0.99407171
666.463,1.395286673,-0.994527513
666.625,1.381762073,-0.993370541
666.787,1.384921277,-0.994049281
666.949,1.381799186,-0.993977889
667.111,1.374624927,-0.993512746
667.273,1.372874157,-0.993640099
667.435,1.375122921,-0.994162011
667.597,1.369241099,-0.993867885
667.759,1.354356788,-0.992536139
667.921,1.365703662,-0.994120449
668.083,1.362634879,-0.993997535
668.245,1.355413344,-0.993421235
668.407,1.357029304,-0.99390296
668.568,1.356134978,-0.99409637
668.73,1.345825262,-0.993190859
668.892,1.345873566,-0.993488606
669.053,1.350029053,-0.994199279
669.215,1.345381605,-0.99402713
669.377,1.338750992,-0.993612777
669.538,1.344709405,-0.994535817
669.7,1.326860034,-0.992887899
669.861,1.325399938,-0.992959277
670.023,1.336940893,-0.994363009
670.184,1.33096978,-0.994062326
670.345,1.328898477,-0.994062699
670.507,1.326641553,-0.993958394
670.668,1.320630798,-0.993615766
670.829,1.315342118,-0.993233678
670.991,1.311207494,-0.992966143
671.152,1.313083537,-0.993502702
671.313,1.313840133,-0.993756465
671.474,1.314403125,-0.994115293
671.635,1.30706679,-0.993611551
671.796,1.313335633,-0.994565282
671.958,1.306411465,-0.99399246
672.119,1.30830433,-0.994459509
672.28,1.303009567,-0.994182974
672.441,1.290974941,-0.992959482
672.601,1.284508078,-0.992414714
672.762,1.291020818,-0.993364284
672.923,1.280707968,-0.99235411
673.084,1.286920618,-0.99329161
673.245,1.285481987,-0.993360398
673.406,1.292364119,-0.99437451
673.566,1.288960984,-0.994181372
673.727,1.272659949,-0.992503585
673.888,1.279150115,-0.993560989
674.048,1.272666721,-0.99307375
674.209,1.275339054,-0.993561577
674.37,1.274771199,-0.993725081
674.53,1.265613226,-0.992839226
674.691,1.266224641,-0.993106277
674.851,1.260120307,-0.992649421
675.012,1.265769522,-0.993436377
675.172,1.265189353,-0.993533606
675.332,1.262219313,-0.993305106
675.493,1.261459967,-0.993510967
675.653,1.254235104,-0.992869152
675.813,1.251601316,-0.992736208
675.974,1.253073854,-0.993059046
676.134,1.25528927,-0.993557889
676.294,1.249069472,-0.993017961
676.454,1.244448336,-0.992634914
676.614,1.250137256,-0.993495411
676.774,1.248212693,-0.993390209
676.934,1.244429025,-0.993136735
677.094,1.243204057,-0.993153725
677.254,1.242952623,-0.993241608
677.414,1.242224191,-0.993324068
677.574,1.240083723,-0.993349932
677.734,1.241883476,-0.993691858
677.894,1.240361535,-0.993715045
678.054,1.233853999,-0.993156794
678.213,1.236001175,-0.993587915
678.373,1.229922499,-0.993047531
678.533,1.233368886,-0.993573099
678.693,1.23147927,-0.99356036
678.852,1.231009796,-0.993656647
679.012,1.227725846,-0.993380753
679.171,1.221512925,-0.992795952
679.331,1.220553242,-0.992875363
679.491,1.222715275,-0.99325655
679.65,1.218698672,-0.99289482
679.81,1.21999839,-0.993267678
679.969,1.215165989,-0.992762377
680.128,1.22065129,-0.99351653
680.288,1.212679645,-0.992701504
680.447,1.212060446,-0.992839971
680.606,1.216437642,-0.993604497
680.766,1.212320119,-0.993195387
680.925,1.211358608,-0.993264684
681.084,1.207324352,-0.99297073
681.243,1.206014834,-0.992867344
681.402,1.204269356,-0.992722898
681.561,1.198118047,-0.992072782
681.72,1.207147185,-0.993298863
681.879,1.205037399,-0.993235518
682.038,1.200367421,-0.992695086
682.197,1.20574425,-0.993502054
682.356,1.201974112,-0.993218433
682.515,1.198629357,-0.993017497
682.674,1.197380667,-0.992961554
682.833,1.197593873,-0.993255483
